
[00:00:00.000 --> 00:00:05.000]   [MUSIC]
[00:26:23.840 --> 00:26:26.480]   like you have a very strange product strategy
[00:26:26.480 --> 00:26:28.480]   of going to down to the individual developer,
[00:26:28.480 --> 00:26:30.120]   but also to the large enterprise.
[00:26:30.120 --> 00:26:31.960]   Is it the same in front of serves everything?
[00:26:31.960 --> 00:26:33.880]   - I think the answer to that is yes.
[00:26:33.880 --> 00:26:34.720]   The answer to that is yes.
[00:26:34.720 --> 00:26:37.440]   And the only reason why for the answer is yes.
[00:26:37.440 --> 00:26:39.800]   And to be honest, our company is a lot more complex
[00:26:39.800 --> 00:26:42.440]   than I think if we just wanted to serve the individual.
[00:26:42.440 --> 00:26:43.280]   And I'll tell you that
[00:26:43.280 --> 00:26:46.200]   because we don't really like pay other providers
[00:26:46.200 --> 00:26:47.640]   to do things for our indexing.
[00:26:47.640 --> 00:26:49.200]   We don't pay like other providers
[00:26:49.200 --> 00:26:53.000]   to do our serving of our own customer models, right?
[00:26:53.000 --> 00:26:55.160]   And I think that's a core competency within our company
[00:26:55.160 --> 00:26:56.120]   that we have decided to build,
[00:26:56.120 --> 00:26:58.680]   but that's also enabled us to go and like make sure
[00:26:58.680 --> 00:27:00.200]   that when we're serving these products
[00:27:00.200 --> 00:27:02.400]   in an environment that works for these large enterprises,
[00:27:02.400 --> 00:27:03.400]   we're not going out and being like,
[00:27:03.400 --> 00:27:05.480]   we need to build this custom system for you guys, right?
[00:27:05.480 --> 00:27:08.480]   This is the same system that serves our entire user base.
[00:27:08.480 --> 00:27:11.680]   So that is a very unique decision we've taken as a company.
[00:27:11.680 --> 00:27:14.400]   And we admit that there are probably faster ways
[00:27:14.400 --> 00:27:15.400]   that we could have done this.
[00:27:15.400 --> 00:27:16.240]   - I was thinking, you know,
[00:27:16.240 --> 00:27:17.760]   when I was working with you for enterprise space,
[00:27:17.760 --> 00:27:20.160]   I was thinking like this philosophy of go slow to go fast,
[00:27:20.160 --> 00:27:23.440]   like build deliberately for the right level of instruction
[00:27:23.440 --> 00:27:26.200]   that can serve the market that you really aren't going after.
[00:27:26.200 --> 00:27:28.080]   - Yeah, I mean, I would say like I was writing,
[00:27:28.080 --> 00:27:29.920]   when writing that piece, like looking back
[00:27:29.920 --> 00:27:32.280]   and reading it back, it sounds so like almost obvious.
[00:27:32.280 --> 00:27:34.680]   And it has not all of those are really conscious decisions
[00:27:34.680 --> 00:27:36.480]   we made, like I'll be the first to admit that.
[00:27:36.480 --> 00:27:37.440]   But like it does help, right?
[00:27:37.440 --> 00:27:39.160]   When we go to like an enterprise
[00:27:39.160 --> 00:27:41.120]   that has tens of thousands of developers
[00:27:41.120 --> 00:27:42.320]   and they're like, oh, wow, you know,
[00:27:42.320 --> 00:27:44.040]   we have tens of thousands of developers
[00:27:44.040 --> 00:27:45.640]   and like does your infrastructure work
[00:27:45.640 --> 00:27:47.120]   for tens of thousands of developers?
[00:27:47.120 --> 00:27:48.000]   We can turn around and be like,
[00:27:48.000 --> 00:27:50.200]   well, we have hundreds of thousands of developers
[00:27:50.200 --> 00:27:51.640]   own individual plan that we're serving.
[00:27:51.640 --> 00:27:53.240]   Like, I think we'll be able to support you, right?
[00:27:53.240 --> 00:27:55.600]   So like, being able to do those things,
[00:27:55.600 --> 00:27:57.920]   like we started off by just like, let's give it to individuals,
[00:27:57.920 --> 00:28:00.440]   let's see what people like and what they don't like and learn,
[00:28:00.440 --> 00:28:01.760]   but then those become value propositions
[00:28:01.760 --> 00:28:02.800]   when we go to the enterprise.
[00:28:02.800 --> 00:28:05.440]   - And to recap, when you first came on the part,
[00:28:05.440 --> 00:28:08.240]   it was like auto completion is free
[00:28:08.240 --> 00:28:10.200]   and co-panel was 10 bucks a month.
[00:28:10.200 --> 00:28:12.120]   And you said, look, what we care about
[00:28:12.120 --> 00:28:14.720]   is building things on top of code completion.
[00:28:14.720 --> 00:28:17.400]   How did you decide to like just not focus
[00:28:17.400 --> 00:28:19.720]   on like short-term kind of like growth monetization
[00:28:19.720 --> 00:28:20.960]   of like the individual developer
[00:28:20.960 --> 00:28:22.160]   and like build some of this?
[00:28:22.160 --> 00:28:23.880]   Because the alternative would have been,
[00:28:23.880 --> 00:28:25.600]   hey, all these people are using it.
[00:28:25.600 --> 00:28:26.840]   It's like we're gonna make this other
[00:28:26.840 --> 00:28:29.800]   like five bucks a month plan monetize.
[00:28:29.800 --> 00:28:33.160]   - I think this might be a little bit of like commercial
[00:28:33.160 --> 00:28:34.680]   instinct that the company has
[00:28:34.680 --> 00:28:36.880]   and unclear if the commercial instinct is right.
[00:28:36.880 --> 00:28:40.360]   I think that right now optimizing for making money
[00:28:40.360 --> 00:28:42.040]   off of individual developers
[00:28:42.040 --> 00:28:44.960]   is probably the wrong actually strategy.
[00:28:44.960 --> 00:28:46.640]   - Largely because I think individual developers
[00:28:46.640 --> 00:28:48.640]   can switch off of products like very quickly.
[00:28:48.640 --> 00:28:51.400]   And unless we have like a very large lead
[00:28:51.400 --> 00:28:53.160]   trying to optimize for making a lot of profit
[00:28:53.160 --> 00:28:54.920]   off of individual developers,
[00:28:54.920 --> 00:28:56.560]   it's probably something that someone else
[00:28:56.560 --> 00:28:57.920]   could just vaporize very quickly
[00:28:57.920 --> 00:29:00.360]   and then they move to another product.
[00:29:00.360 --> 00:29:01.920]   And I'm gonna say this very honestly, right?
[00:29:01.920 --> 00:29:03.360]   Like when you use a product like
[00:29:03.360 --> 00:29:05.400]   podium on the individual side,
[00:29:05.400 --> 00:29:08.160]   there's not much that prevents you to switch
[00:29:08.160 --> 00:29:09.000]   onto another product.
[00:29:09.000 --> 00:29:10.160]   I think that will change with time
[00:29:10.160 --> 00:29:12.680]   as the products get better and better and deeper and deeper.
[00:29:12.680 --> 00:29:14.560]   I constantly say this like there's a book
[00:29:14.560 --> 00:29:16.280]   in business called like Seven Powers
[00:29:16.280 --> 00:29:17.720]   and I think one of the powers that a business
[00:29:17.720 --> 00:29:20.080]   like ours need to have is like real switching costs.
[00:29:20.080 --> 00:29:22.280]   But like you first need something in the product
[00:29:22.280 --> 00:29:24.200]   that makes people switch on and stay on
[00:29:24.200 --> 00:29:26.680]   before you think about how do you make people switch off.
[00:29:26.680 --> 00:29:29.480]   And I think for us, we believe that
[00:29:29.480 --> 00:29:31.880]   there's probably much more differentiation we can derive
[00:29:31.880 --> 00:29:34.040]   in the enterprise by working with these large companies
[00:29:34.040 --> 00:29:35.800]   in a way that is like, that is interesting
[00:29:35.800 --> 00:29:36.880]   and scalable for them.
[00:29:36.880 --> 00:29:39.120]   Like I'll be maybe more concrete here.
[00:29:39.120 --> 00:29:41.440]   Individual developers are much more sort of
[00:29:41.440 --> 00:29:43.640]   tuned towards small price changes.
[00:29:43.640 --> 00:29:44.680]   They care a lot more, right?
[00:29:44.680 --> 00:29:47.040]   Like if our product is 10, 20 bucks a month
[00:29:47.040 --> 00:29:49.000]   instead of 50 or a hundred bucks a month,
[00:29:49.000 --> 00:29:50.280]   that matters to them a lot.
[00:29:50.280 --> 00:29:52.200]   And for a large company where they're already spending
[00:29:52.200 --> 00:29:53.600]   billions of dollars on software,
[00:29:53.600 --> 00:29:54.520]   this is much less important.
[00:29:54.520 --> 00:29:57.240]   So you can actually solve maybe deeper problems for them
[00:29:57.240 --> 00:29:59.640]   and you can actually kind of provide
[00:29:59.640 --> 00:30:01.320]   more differentiation on that angle.
[00:30:01.320 --> 00:30:03.240]   Whereas I think individual developers
[00:30:03.240 --> 00:30:05.240]   could be churning as long as we don't have the best product.
[00:30:05.240 --> 00:30:06.800]   So focus on being the best product,
[00:30:06.800 --> 00:30:07.960]   not trying to like take price
[00:30:07.960 --> 00:30:09.680]   and make a lot of money off of people.
[00:30:09.680 --> 00:30:12.680]   And I don't think we will, for the foreseeable future,
[00:30:12.680 --> 00:30:14.240]   try to be a company that tries to make
[00:30:14.240 --> 00:30:15.960]   a lot of money off individual developers.
[00:30:15.960 --> 00:30:17.120]   - I mean, that makes sense.
[00:30:17.120 --> 00:30:19.320]   So why $10 a month for WinSurf?
[00:30:19.320 --> 00:30:22.040]   - Why $10 a month was actually the pro plan.
[00:30:22.040 --> 00:30:23.880]   So we launched our individual pro plan
[00:30:23.880 --> 00:30:25.400]   before WinSurf existed.
[00:30:25.400 --> 00:30:27.240]   'Cause I think there's, let's also,
[00:30:27.240 --> 00:30:28.760]   we also had to be financially responsible.
[00:30:28.760 --> 00:30:29.840]   (laughing)
[00:30:29.840 --> 00:30:30.680]   Right?
[00:30:30.680 --> 00:30:32.680]   - Yeah, we can't run out of money.
[00:30:32.680 --> 00:30:34.440]   - There's 150 million dollars.
[00:30:34.440 --> 00:30:35.280]   - It's like, it's like, it's cool.
[00:30:35.280 --> 00:30:36.120]   I mean, there's a lot of things
[00:30:36.120 --> 00:30:36.960]   'cause of our infrastructure background,
[00:30:36.960 --> 00:30:39.040]   we can give like, for essentially free,
[00:30:39.040 --> 00:30:41.480]   like unlimited auto-complete, unlimited chat
[00:30:41.480 --> 00:30:43.320]   on like our, you know, faster models,
[00:30:43.320 --> 00:30:46.280]   like we have a lot of things actually out for free.
[00:30:46.280 --> 00:30:47.480]   But yeah, when we start doing things
[00:30:47.480 --> 00:30:48.520]   like the super-completes
[00:30:48.520 --> 00:30:50.480]   and really large amounts of indexing
[00:30:50.480 --> 00:30:53.120]   and all of these things, like there is real cogs here.
[00:30:53.120 --> 00:30:54.560]   Like we can't ignore that.
[00:30:54.560 --> 00:30:57.640]   And so we just created $10 a month pro plan,
[00:30:57.640 --> 00:30:58.840]   mostly just to cover the costs.
[00:30:58.840 --> 00:31:00.160]   Like we're not really like operating,
[00:31:00.160 --> 00:31:01.680]   I think on a much of a margin there either.
[00:31:01.680 --> 00:31:04.120]   But like, okay, like just to cover us there.
[00:31:04.120 --> 00:31:07.040]   So for WinSurf, it just ended up being the same thing.
[00:31:07.040 --> 00:31:09.240]   And everyone who downloads WinSurf in the first,
[00:31:09.240 --> 00:31:10.880]   like at every, like a couple of weeks,
[00:31:10.880 --> 00:31:12.080]   like at like two weeks or three,
[00:31:12.080 --> 00:31:13.480]   which is how people try it out less,
[00:31:13.480 --> 00:31:14.520]   know what they like, what they don't like.
[00:31:14.520 --> 00:31:16.400]   And that's how we've always operated.
[00:31:16.400 --> 00:31:19.560]   - I've talked to a lot of CTOs and like the Fortune 100
[00:31:19.560 --> 00:31:21.600]   where most of the engineers they have,
[00:31:21.600 --> 00:31:23.120]   they don't really do much anyway.
[00:31:23.120 --> 00:31:26.600]   The problem is not that the developer costs 200K
[00:31:26.600 --> 00:31:28.200]   and you're saving 8K.
[00:31:28.200 --> 00:31:30.640]   It's like that developer should not be paid 200K.
[00:31:30.640 --> 00:31:33.320]   But that's kind of like the base price, you know?
[00:31:33.320 --> 00:31:35.440]   But then you have developers getting paid 200K,
[00:31:35.440 --> 00:31:37.000]   there should be paid 500K.
[00:31:37.000 --> 00:31:40.200]   So it's almost like you're averaging out the price
[00:31:40.200 --> 00:31:42.440]   because most people are actually not that productive anyway.
[00:31:42.440 --> 00:31:44.160]   So if you made them 20% more productive,
[00:31:44.160 --> 00:31:45.600]   they're still not very productive.
[00:31:45.600 --> 00:31:47.480]   And I don't know in the future like,
[00:31:47.480 --> 00:31:52.200]   is it that the junior developer's salary is like 50K, you know?
[00:31:52.200 --> 00:31:54.800]   And it's like the bottom of the end gets kind of squeezed out
[00:31:54.800 --> 00:31:56.880]   and then the top end gets squeezed up.
[00:31:56.880 --> 00:31:59.000]   - Yeah, maybe I'll ask you one thing that I think about a lot
[00:31:59.000 --> 00:32:01.400]   because I do think about this, the perceived anything.
[00:32:01.400 --> 00:32:03.300]   All of this stuff I think about a good deal.
[00:32:03.300 --> 00:32:05.320]   Let's take a product like Office 365.
[00:32:05.320 --> 00:32:06.840]   I will say a lawyer at Codeium
[00:32:06.840 --> 00:32:08.800]   uses Microsoft Word way more than I do.
[00:32:08.800 --> 00:32:10.400]   I'm still putting the same bill.
[00:32:10.400 --> 00:32:13.080]   But the amount of value that he's driving from Office 365
[00:32:13.080 --> 00:32:15.440]   is probably, you know, tens of thousands of dollars.
[00:32:15.440 --> 00:32:18.120]   By the way, everyone, you know, Google Docs, great product.
[00:32:18.120 --> 00:32:20.480]   Microsoft Word is a crazy product.
[00:32:20.480 --> 00:32:22.600]   It made it so that the moment you review anything
[00:32:22.600 --> 00:32:24.320]   in Microsoft Word, the only way you can review it
[00:32:24.320 --> 00:32:26.080]   is with other people in Microsoft Word.
[00:32:26.080 --> 00:32:28.160]   It's like this virus that penetrates everything
[00:32:28.160 --> 00:32:29.840]   and it's not only penetrates it within the company,
[00:32:29.840 --> 00:32:31.800]   it penetrates it cross-company too.
[00:32:31.800 --> 00:32:34.240]   The amount of value it's driving is way higher for him.
[00:32:34.240 --> 00:32:35.800]   So for these kinds of products,
[00:32:35.800 --> 00:32:37.880]   there's always going to be for these kinds of products,
[00:32:37.880 --> 00:32:41.120]   this variance between who gets value from these products, right?
[00:32:41.120 --> 00:32:41.960]   And you're right.
[00:32:41.960 --> 00:32:42.840]   It's almost like a blended,
[00:32:42.840 --> 00:32:44.200]   'cause you're actually totally right.
[00:32:44.200 --> 00:32:45.400]   Probably this company should be paying
[00:32:45.400 --> 00:32:47.760]   that one developer maybe like four times as much.
[00:32:47.760 --> 00:32:50.680]   But in weird way, software is like this team activity enough
[00:32:50.680 --> 00:32:52.440]   that there is a bunch of blended outcomes,
[00:32:52.440 --> 00:32:54.880]   but hey, like 20% of the four times
[00:32:54.880 --> 00:32:56.400]   and there are four people is still going to cover
[00:32:56.400 --> 00:32:58.160]   the cost across the four individuals, right?
[00:32:58.160 --> 00:33:01.680]   And that's how roughly these products kind of get priced out.
[00:33:01.680 --> 00:33:03.000]   - I mean, more than about pricing,
[00:33:03.000 --> 00:33:05.920]   this is about like the future of like the software engineer.
[00:33:05.920 --> 00:33:07.600]   Like we could be very wrong also.
[00:33:07.600 --> 00:33:10.000]   - Yeah, I think nobody knows.
[00:33:10.000 --> 00:33:11.880]   - Reserve the right to being incredibly off.
[00:33:11.880 --> 00:33:12.720]   - Yeah.
[00:33:12.720 --> 00:33:13.960]   I mean, business model does, in fact,
[00:33:13.960 --> 00:33:16.520]   the product product does impact the user experience.
[00:33:16.520 --> 00:33:17.600]   So it's all of a kind.
[00:33:17.600 --> 00:33:18.440]   I don't mind.
[00:33:18.440 --> 00:33:21.400]   We do are as concerned about the business of tech
[00:33:21.400 --> 00:33:22.680]   as the tech itself.
[00:33:22.680 --> 00:33:23.520]   - That's cool.
[00:33:23.520 --> 00:33:25.360]   - Speaking of which, there's other listener questions.
[00:33:25.360 --> 00:33:27.280]   Shout out to Daniel and felt it was pretty active
[00:33:27.280 --> 00:33:29.720]   in our Discord, just asking all these things.
[00:33:29.720 --> 00:33:32.240]   Multi-agent, very, very hot and popular,
[00:33:32.240 --> 00:33:34.760]   especially from like the Microsoft Research point of view,
[00:33:34.760 --> 00:33:37.360]   have you made any explorations there?
[00:33:37.360 --> 00:33:38.680]   - I think we have.
[00:33:38.680 --> 00:33:40.800]   I don't think we've called it a multi-agent,
[00:33:40.800 --> 00:33:42.080]   which is more so like,
[00:33:42.080 --> 00:33:44.680]   once you, this notion of having many trajectories
[00:33:44.680 --> 00:33:46.160]   that you can spawn off,
[00:33:46.160 --> 00:33:49.040]   they kind of like validate sort of some different hypotheses
[00:33:49.040 --> 00:33:50.840]   and you can kind of pick the most interesting one.
[00:33:50.840 --> 00:33:53.040]   This is stuff that we've actually analyzed internally
[00:33:53.040 --> 00:33:53.880]   at the company.
[00:33:53.880 --> 00:33:56.480]   By the way, the reason why we have not put these things in
[00:33:56.480 --> 00:33:58.480]   actually is partially because we can't go out
[00:33:58.480 --> 00:34:01.520]   and execute some random stuff in peril in the meantime,
[00:34:01.520 --> 00:34:03.040]   in the meantime on other side effects.
[00:34:03.040 --> 00:34:04.320]   Because of the side effects, right?
[00:34:04.320 --> 00:34:06.680]   So there are some things that are a little bit dependent
[00:34:06.680 --> 00:34:09.880]   on us unlocking more and more functionality internally.
[00:34:09.880 --> 00:34:11.920]   And then the other thing is, in the short term,
[00:34:11.920 --> 00:34:13.800]   I think there is also a latency component.
[00:34:13.800 --> 00:34:15.880]   And I think all of these things can kind of be solved.
[00:34:15.880 --> 00:34:17.600]   I actually believe all of these things are solved over them.
[00:34:17.600 --> 00:34:18.840]   They're not unsolved over them.
[00:34:18.840 --> 00:34:20.680]   And if you want to run all of them in parallel,
[00:34:20.680 --> 00:34:22.560]   you probably don't want end machines to go out and do it.
[00:34:22.560 --> 00:34:23.840]   I think that's unnecessary,
[00:34:23.840 --> 00:34:26.600]   especially if most of them are I/O bound kind of operations
[00:34:26.600 --> 00:34:28.720]   where all you're doing is reading a little bit of data
[00:34:28.720 --> 00:34:29.760]   and writing out a little bit of data.
[00:34:29.760 --> 00:34:31.640]   It's not extremely computer intensive.
[00:34:31.640 --> 00:34:33.280]   I think that it's a good idea
[00:34:33.280 --> 00:34:35.320]   and probably something we will pursue
[00:34:35.320 --> 00:34:36.840]   and is going to be in the product.
[00:34:36.840 --> 00:34:39.000]   - I'm still processing what you just said about things
[00:34:39.000 --> 00:34:39.840]   being I/O bound.
[00:34:39.840 --> 00:34:42.160]   So for a certain class of concurrency,
[00:34:42.160 --> 00:34:43.680]   you can actually just run it all in one machine.
[00:34:43.680 --> 00:34:44.520]   - Yeah, why not?
[00:34:44.520 --> 00:34:47.280]   'Cause if you look at the changes that are made, right?
[00:34:47.280 --> 00:34:48.240]   And for some of these,
[00:34:48.240 --> 00:34:50.360]   it's writing out like what, a couple of thousand bytes,
[00:34:50.360 --> 00:34:52.720]   maybe like tens of thousands of bytes on every tree.
[00:34:52.720 --> 00:34:54.560]   It's not a lot, very small.
[00:34:54.560 --> 00:34:56.800]   - What's next for cascade or winter?
[00:34:56.800 --> 00:34:58.040]   - Oh, there's a lot.
[00:34:58.040 --> 00:34:58.880]   I don't know.
[00:34:58.880 --> 00:35:00.960]   We did an internal pull and we're just like,
[00:35:00.960 --> 00:35:02.520]   are you more excited about this launcher
[00:35:02.520 --> 00:35:04.400]   or the launch that's happening in a month
[00:35:04.400 --> 00:35:06.040]   or like what we're going to come out within a month?
[00:35:06.040 --> 00:35:08.080]   And I was like almost uniformly in a month.
[00:35:08.080 --> 00:35:10.120]   I think like, you know, there's some like obvious ones.
[00:35:10.120 --> 00:35:11.480]   I don't know how much for anyone to say.
[00:35:11.480 --> 00:35:13.920]   I don't want to just speak of it.
[00:35:13.920 --> 00:35:17.280]   But I think you look at all the same axes of the system, right?
[00:35:17.280 --> 00:35:19.200]   Like, how can we improve the knowledge or triple?
[00:35:19.200 --> 00:35:20.480]   Like we'll always keep on figuring out
[00:35:20.480 --> 00:35:21.480]   how to improve knowledge or triple.
[00:35:21.480 --> 00:35:22.880]   In the inner launch video,
[00:35:22.880 --> 00:35:24.800]   we even showed some of like the early explorations
[00:35:24.800 --> 00:35:27.280]   that we have about looking to other data sources.
[00:35:27.280 --> 00:35:28.280]   That might not be the coolest thing
[00:35:28.280 --> 00:35:30.560]   to the individual developer building a zero to one app,
[00:35:30.560 --> 00:35:32.240]   but you can really believe that like,
[00:35:32.240 --> 00:35:33.720]   the enterprise customers really think
[00:35:33.720 --> 00:35:35.080]   that that's very cool, right?
[00:35:35.080 --> 00:35:36.840]   I think on the tool side,
[00:35:36.840 --> 00:35:38.240]   I think there's a whole lot more that we can do.
[00:35:38.240 --> 00:35:39.200]   I mean, of course,
[00:35:39.200 --> 00:35:41.320]   we're just talking about not just suggesting
[00:35:41.320 --> 00:35:42.840]   the terminal command, but actually executing them.
[00:35:42.840 --> 00:35:45.120]   Like I think that's going to be huge unlocked.
[00:35:45.120 --> 00:35:47.720]   You look at the actions that people are taking, right?
[00:35:47.720 --> 00:35:49.640]   Like the human actions, the trajectories that we can build.
[00:35:49.640 --> 00:35:51.680]   Like how can we make that even more detailed?
[00:35:51.680 --> 00:35:52.920]   And I think all of those things,
[00:35:52.920 --> 00:35:55.880]   and you make some like even a cleaner UI,
[00:35:55.880 --> 00:35:58.720]   like the idea of looking at future trajectories,
[00:35:58.720 --> 00:35:59.680]   trying a few different things
[00:35:59.680 --> 00:36:01.960]   and like suggesting potential and next like actions
[00:36:01.960 --> 00:36:02.800]   to be taken.
[00:36:02.800 --> 00:36:04.240]   That doesn't really exist yet,
[00:36:04.240 --> 00:36:05.760]   but like it's pretty obvious.
[00:36:05.760 --> 00:36:06.920]   I think how that would look like, right?
[00:36:06.920 --> 00:36:09.760]   You open up cascade and instead of like starting typing,
[00:36:09.760 --> 00:36:12.120]   it's just like, here's a bunch of things that we want to do.
[00:36:12.120 --> 00:36:12.960]   We're kind of joking.
[00:36:12.960 --> 00:36:13.960]   It's like clippies coming back,
[00:36:13.960 --> 00:36:16.560]   but like maybe now's the time for clippie to really shine, right?
[00:36:16.560 --> 00:36:19.080]   So I think there's a lot of ways that we can take this,
[00:36:19.080 --> 00:36:20.960]   which I think is like the very exciting part.
[00:36:20.960 --> 00:36:22.960]   We're calling each of our launches waves, I believe,
[00:36:22.960 --> 00:36:25.760]   because we want to really double down on the aquatic themes.
[00:36:25.760 --> 00:36:26.600]   - Oh yeah.
[00:36:26.600 --> 00:36:27.920]   Does someone actually wincer for the company?
[00:36:27.920 --> 00:36:28.760]   - Is it?
[00:36:28.760 --> 00:36:30.560]   (both laughing)
[00:36:30.560 --> 00:36:32.640]   - Yeah, we're living out our dream of being cool enough
[00:36:32.640 --> 00:36:33.880]   to wincer through the rise.
[00:36:33.880 --> 00:36:35.240]   - Yeah, I don't think we can't.
[00:36:35.240 --> 00:36:36.520]   - Yeah, all right.
[00:36:36.520 --> 00:36:37.920]   - That was actually something we learned,
[00:36:37.920 --> 00:36:39.200]   because I don't think any of us are wood surfers,
[00:36:39.200 --> 00:36:40.440]   like in our launch video,
[00:36:40.440 --> 00:36:43.080]   we have someone like using windsurf on a windsurf.
[00:36:43.080 --> 00:36:43.920]   - You saw that?
[00:36:43.920 --> 00:36:44.760]   - You saw that in the beginning of the video,
[00:36:44.760 --> 00:36:45.920]   someone has a computer
[00:36:45.920 --> 00:36:48.400]   and we didn't realize like now apparently is like the time
[00:36:48.400 --> 00:36:50.920]   of the year where there's like not enough wind to windsurf.
[00:36:50.920 --> 00:36:52.720]   So we were trying to figure out how to do this like,
[00:36:52.720 --> 00:36:54.440]   you know, a launch video with a windsurf on the windsurf
[00:36:54.440 --> 00:36:56.360]   and like every windsurf we attacked were like,
[00:36:56.360 --> 00:36:57.200]   yeah, it's not possible.
[00:36:57.200 --> 00:36:58.240]   And it was like one crazy guy.
[00:36:58.240 --> 00:37:00.200]   He was like, yeah, I think we can do this.
[00:37:00.200 --> 00:37:01.800]   And we made it happen.
[00:37:01.800 --> 00:37:03.040]   - Oh, okay.
[00:37:03.040 --> 00:37:04.040]   - Well, it's funny.
[00:37:04.040 --> 00:37:05.640]   - Is there anything that you want feedback on?
[00:37:05.640 --> 00:37:07.120]   Like maybe if there's a fork in a road,
[00:37:07.120 --> 00:37:09.880]   you want feedback, you want people to respond to this,
[00:37:09.880 --> 00:37:11.880]   podcast and tell you what they want?
[00:37:11.880 --> 00:37:14.200]   - Yeah, I think there's a lot of things
[00:37:14.200 --> 00:37:16.680]   that I think could be more polished about the product
[00:37:16.680 --> 00:37:18.800]   that we'd like to improve.
[00:37:18.800 --> 00:37:20.000]   Lots of different environments
[00:37:20.000 --> 00:37:21.400]   that we're gonna improve performance on.
[00:37:21.400 --> 00:37:25.120]   And I think we would love to hear from folks across the gamut.
[00:37:25.120 --> 00:37:26.880]   Like, hey, like if you have this environment,
[00:37:26.880 --> 00:37:28.600]   you use Windows and X version.
[00:37:28.600 --> 00:37:30.040]   It didn't work or this language.
[00:37:30.040 --> 00:37:30.880]   - Oh, yeah.
[00:37:30.880 --> 00:37:31.720]   - It was like very poor.
[00:37:31.720 --> 00:37:33.320]   I think we would like to hear it.
[00:37:33.320 --> 00:37:35.200]   - Yeah, I gave prepping Kevin a lot of shit
[00:37:35.200 --> 00:37:36.560]   for my Python issues.
[00:37:36.560 --> 00:37:37.480]   - Yeah, yeah, yeah.
[00:37:37.480 --> 00:37:39.480]   And I think there's a lot to kind of improve
[00:37:39.480 --> 00:37:40.320]   on the environment set.
[00:37:40.320 --> 00:37:42.520]   I think like, for instance, even just a dumb example
[00:37:42.520 --> 00:37:44.920]   and I think sort of Swix, this was a common one.
[00:37:44.920 --> 00:37:46.520]   It's like, yeah, like the virtual environment,
[00:37:46.520 --> 00:37:48.560]   where's the terminal running, what is all this stuff?
[00:37:48.560 --> 00:37:50.200]   These are all basic things that like,
[00:37:50.200 --> 00:37:51.760]   to be honest, this is not rocket science,
[00:37:51.760 --> 00:37:53.520]   but we need to just fix it, right?
[00:37:53.520 --> 00:37:54.360]   We need to fix it.
[00:37:54.360 --> 00:37:56.520]   So we would love to hear like all the feedback
[00:37:56.520 --> 00:37:58.160]   from the product like, was it too slow?
[00:37:58.160 --> 00:37:59.440]   Where was it too slow?
[00:37:59.440 --> 00:38:01.400]   What kind of environments could it work way more in?
[00:38:01.400 --> 00:38:02.760]   There's a lot of things that we don't know.
[00:38:02.760 --> 00:38:06.320]   We luckily were daily users of the product internally.
[00:38:06.320 --> 00:38:08.120]   So we're getting a lot of feedback inside.
[00:38:08.120 --> 00:38:09.440]   But I will say like, there's a little bit
[00:38:09.440 --> 00:38:12.040]   of Silicon Valiism in that a lot of us develop on Mac.
[00:38:12.040 --> 00:38:14.920]   A lot of people, once again, over 80% of developers
[00:38:14.920 --> 00:38:15.760]   are on Windows.
[00:38:15.760 --> 00:38:17.040]   So yeah, there's a lot to learn
[00:38:17.040 --> 00:38:18.680]   and probably a lot of improvements down the line.
[00:38:18.680 --> 00:38:19.640]   - Are you personally tempted,
[00:38:19.640 --> 00:38:22.440]   you're CEO of the company to switch to Windows
[00:38:22.440 --> 00:38:24.720]   just to feel something?
[00:38:24.720 --> 00:38:25.560]   (laughing)
[00:38:25.560 --> 00:38:27.600]   - To feel the pain.
[00:38:27.600 --> 00:38:28.440]   - You know what?
[00:38:28.440 --> 00:38:29.280]   Maybe I should.
[00:38:29.280 --> 00:38:30.440]   - I should answer that.
[00:38:30.440 --> 00:38:34.760]   - I mean, your customers, everyone says is 89%
[00:38:34.760 --> 00:38:35.760]   in all Windows, right?
[00:38:35.760 --> 00:38:37.560]   If you live in Windows, you will never,
[00:38:37.560 --> 00:38:40.800]   you would never not see something that missed.
[00:38:40.800 --> 00:38:41.840]   - So I think in the beginning,
[00:38:41.840 --> 00:38:44.240]   part of the reason why we were hesitant to do that
[00:38:44.240 --> 00:38:46.720]   was like a lot of our architectural decisions
[00:38:46.720 --> 00:38:49.640]   to work on across every IDE was because we built
[00:38:49.640 --> 00:38:52.200]   a platform agnostic way of running the system
[00:38:52.200 --> 00:38:54.920]   on the user's local machine that was only buildable,
[00:38:54.920 --> 00:38:58.040]   easily buildable on dev containers that lived
[00:38:58.040 --> 00:38:59.320]   on a particular time of platform,
[00:38:59.320 --> 00:39:00.680]   so Mac was like nice for that.
[00:39:00.680 --> 00:39:03.280]   But now there's not really an excuse if it's like,
[00:39:03.280 --> 00:39:05.800]   if I can also make changes to the UI and stuff like that.
[00:39:05.800 --> 00:39:07.400]   And yeah, WSL also exists.
[00:39:07.400 --> 00:39:08.800]   That's actually something that we need to add
[00:39:08.800 --> 00:39:09.640]   to the product.
[00:39:09.640 --> 00:39:11.960]   That's how early it is, that we have not actually added that.
[00:39:11.960 --> 00:39:13.120]   - We don't have like remote.
[00:39:13.120 --> 00:39:15.800]   - Anything else about Codeium at large, right?
[00:39:15.800 --> 00:39:19.600]   Like you still have your core business of the enterprise
