
[00:00:00.000 --> 00:00:02.400]   (upbeat music)
[00:35:56.880 --> 00:35:58.240]   of how teams interact with each other
[00:35:58.240 --> 00:36:00.400]   is to change the technology that they use.
[00:36:00.400 --> 00:36:04.040]   It redraws the boundaries, it redraws responsibilities
[00:36:04.040 --> 00:36:07.840]   and it changes the place for like cost and value set.
[00:36:07.840 --> 00:36:11.280]   I think for data, there's this huge opportunity
[00:36:11.280 --> 00:36:14.960]   to really think of RPC boundaries
[00:36:14.960 --> 00:36:19.640]   and data lake tables as different ends of the same spectrum
[00:36:19.640 --> 00:36:23.360]   and to have a unified stack that moves data
[00:36:23.360 --> 00:36:26.920]   all the way from ephemeral network data
[00:36:26.920 --> 00:36:30.320]   down to like kind of historical reporting data
[00:36:30.320 --> 00:36:31.840]   in your lake house.
[00:36:31.840 --> 00:36:34.240]   And again, this is my perspective, right?
[00:36:34.240 --> 00:36:38.120]   That we want one format that's the lingua franca there.
[00:36:38.120 --> 00:36:39.480]   Not that you have to use that,
[00:36:39.480 --> 00:36:43.400]   but there's a clearly paved path to use one thing throughout.
[00:36:43.400 --> 00:36:46.200]   And then we stop thinking of Kafka
[00:36:46.200 --> 00:36:49.160]   as a particular message queue
[00:36:49.160 --> 00:36:54.160]   and more as a convenient protocol for streaming updates.
[00:36:54.160 --> 00:36:57.080]   And that protocol is a commodity.
[00:36:57.080 --> 00:37:01.080]   Nobody today thinks of HTTP as a feature
[00:37:01.080 --> 00:37:02.880]   of the Apache web server.
[00:37:02.880 --> 00:37:05.040]   And you're like, oh, if this thing has to speak HTTP,
[00:37:05.040 --> 00:37:07.200]   like we got to put Apache in front of it.
[00:37:07.200 --> 00:37:08.760]   Everything speaks HTTP.
[00:37:08.760 --> 00:37:12.040]   That's just the way we hook systems together
[00:37:12.040 --> 00:37:14.400]   for request response workloads.
[00:37:14.400 --> 00:37:17.240]   Similarly, the Kafka protocol should be the way
[00:37:17.240 --> 00:37:20.360]   we hook things together when we want record
[00:37:20.360 --> 00:37:22.120]   at a time streaming.
[00:37:22.120 --> 00:37:26.880]   Everything else, right, is just a question of convenience.
[00:37:26.880 --> 00:37:31.320]   I would love it to get to a world where you write data in
[00:37:31.320 --> 00:37:33.240]   with Kafka to a system.
[00:37:33.240 --> 00:37:37.640]   But that same system accepts RPC or REST calls
[00:37:37.640 --> 00:37:39.680]   for relatively simple use cases.
[00:37:39.680 --> 00:37:43.960]   Ideally, like all the workloads that once upon a time
[00:37:43.960 --> 00:37:46.520]   we did with like HBase tables,
[00:37:46.520 --> 00:37:48.720]   like that is right there for the asking.
[00:37:48.720 --> 00:37:51.960]   We can support all of that with some squinting, right?
[00:37:51.960 --> 00:37:55.280]   And maybe some cooperation from the object storage centers.
[00:37:55.280 --> 00:37:59.560]   Like we could do reasonably low latency like MongoDB
[00:37:59.560 --> 00:38:02.480]   on top of the same data set at REST.
[00:38:02.480 --> 00:38:07.000]   So I would love something that's much more converged
[00:38:07.000 --> 00:38:09.240]   that doesn't necessarily try to bridge
[00:38:09.240 --> 00:38:11.760]   transaction processing and analytics.
[00:38:11.760 --> 00:38:15.640]   But over in the use cases where you want throughput
[00:38:15.640 --> 00:38:19.040]   over latency, we can offer you your data
[00:38:19.040 --> 00:38:20.880]   in a whole bunch of different formats
[00:38:20.880 --> 00:38:25.120]   and via a bunch of different like protocols and APIs.
[00:38:25.120 --> 00:38:26.320]   - Yeah, this is actually fascinating.
[00:38:26.320 --> 00:38:29.680]   Our last episode was taught by HTap,
[00:38:29.680 --> 00:38:31.840]   which also has another flavor
[00:38:31.840 --> 00:38:35.360]   of combining transactional and analytics as well.
[00:38:35.360 --> 00:38:37.280]   And you're bringing a totally different angle to it,
[00:38:37.280 --> 00:38:39.360]   which is super interesting.
[00:38:39.360 --> 00:38:40.880]   I think-- - HTap is the holy grail.
[00:38:40.880 --> 00:38:43.480]   Like if we could get there, that would be amazing.
[00:38:43.480 --> 00:38:47.040]   - I feel like HTap with one single format to rule them all
[00:38:47.040 --> 00:38:49.880]   will might be in heaven of some sort of data
[00:38:49.880 --> 00:38:50.960]   engineer world out there.
[00:38:50.960 --> 00:38:52.480]   - I mean, everyone listening to this podcast
[00:38:52.480 --> 00:38:55.040]   from inside Google is just like giggling to themselves.
[00:38:55.040 --> 00:38:56.880]   So it's like more or less, my understanding is
[00:38:56.880 --> 00:38:57.880]   this is basically how it works.
[00:38:57.880 --> 00:38:58.720]   You have some pertibuffs
[00:38:58.720 --> 00:39:02.080]   and you're just like flinging pertibuffs everywhere.
[00:39:02.080 --> 00:39:04.360]   Under the hood, everything is pertibuff.
[00:39:04.360 --> 00:39:05.880]   Like their equivalent of parquet
[00:39:05.880 --> 00:39:07.480]   is just shredded up pertibuff records.
[00:39:07.480 --> 00:39:09.560]   That's the Dremel paper.
[00:39:09.560 --> 00:39:11.560]   The SQL type database takes
[00:39:11.560 --> 00:39:13.800]   and returns pertibuff records.
[00:39:13.800 --> 00:39:16.080]   It's the kind of world you can get to quickly
[00:39:16.080 --> 00:39:19.640]   if you have a internal ecosystem
[00:39:19.640 --> 00:39:23.200]   that has really, really lavish infrastructure funding
[00:39:23.200 --> 00:39:26.120]   and has buy-in from the top
[00:39:26.120 --> 00:39:29.680]   to really focus on uniformity, no matter what the cost.
[00:39:29.680 --> 00:39:33.000]   - And so I think my last question really,
[00:39:33.000 --> 00:39:35.720]   like we haven't got to this future state
[00:39:35.720 --> 00:39:39.240]   that you're talking about here.
[00:39:39.240 --> 00:39:41.360]   We probably can talk about like all the single steps
[00:39:41.360 --> 00:39:44.360]   that requires it, but what is like one major thing
[00:39:44.360 --> 00:39:45.840]   that you guys are working on or something
[00:39:45.840 --> 00:39:50.840]   that requires to make the push to have the pertibuff format
[00:39:50.840 --> 00:39:53.320]   to be more widely adopted?
[00:39:53.320 --> 00:39:56.160]   What is the first major step you guys are taking to like,
[00:39:56.160 --> 00:39:57.800]   hey, we can get better.
[00:39:57.800 --> 00:39:59.080]   This is something that we're working on
[00:39:59.080 --> 00:40:01.760]   to get more usually while adopted?
[00:40:01.760 --> 00:40:03.160]   - The first thing that we're doing
[00:40:03.160 --> 00:40:08.160]   is we're shipping like native RK support in BuffStream.
[00:40:08.160 --> 00:40:10.600]   And I think that by itself
[00:40:10.600 --> 00:40:13.840]   is enough to get rid of so much extra plumbing
[00:40:13.840 --> 00:40:18.160]   and so much extra expense from a lot of data pipelines
[00:40:18.160 --> 00:40:20.920]   that I think of it as a proof of concept.
[00:40:20.920 --> 00:40:22.920]   It's the one thing that we can point to and say,
[00:40:22.920 --> 00:40:26.680]   look, if you were willing to standardize,
[00:40:26.680 --> 00:40:30.720]   I can give you this not only with lower operational overhead
[00:40:30.720 --> 00:40:34.800]   and more simplicity, but with lower hard costs too.
[00:40:34.800 --> 00:40:37.320]   That is also, I think, the foundational,
[00:40:37.320 --> 00:40:41.080]   that's the bridge between your stream processing
[00:40:41.080 --> 00:40:43.560]   and your kind of analytic estate
[00:40:43.560 --> 00:40:48.240]   over in Databricks or Snowflake or Big Lake
[00:40:48.240 --> 00:40:50.480]   or wherever you put your data.
[00:40:50.480 --> 00:40:52.160]   And once those get bridged,
[00:40:52.160 --> 00:40:56.120]   now we can start moving policy information back and forth too.
[00:40:56.120 --> 00:41:00.040]   And I think that'll be the place where we can show people
[00:41:00.040 --> 00:41:02.280]   the power of a unified platform
[00:41:02.280 --> 00:41:05.200]   to solve business problems for you, right?
[00:41:05.200 --> 00:41:10.400]   To solve problems of compliance, enforcement, GDPR, CCPA,
[00:41:10.400 --> 00:41:12.920]   how do you govern like whether your LLMs
[00:41:12.920 --> 00:41:15.240]   or learning on the wrong data
[00:41:15.240 --> 00:41:18.800]   can give you a firm footing to tackle all those problems?
[00:41:18.800 --> 00:41:21.840]   - Well, awesome.
[00:41:21.840 --> 00:41:24.880]   I guess if people want to learn more about you
[00:41:24.880 --> 00:41:27.840]   or Buffstream or Buff, where should we go?
[00:41:27.840 --> 00:41:29.880]   - Should go to buck.build.
[00:41:29.880 --> 00:41:30.920]   That's the homepage.
[00:41:30.920 --> 00:41:32.000]   And right up at the top,
[00:41:32.000 --> 00:41:33.840]   there's an announcement banner for Buffstream.
[00:41:33.840 --> 00:41:35.600]   You can check out the blog post,
[00:41:35.600 --> 00:41:37.760]   you can check out the cost deep dive,
[00:41:37.760 --> 00:41:38.640]   you can reach out to us
[00:41:38.640 --> 00:41:41.840]   and we can kind of get you slated for a POC with us.
[00:41:41.840 --> 00:41:44.480]   - Amazing, thanks so much, it was so informative.
[00:41:44.480 --> 00:41:45.880]   When I saw Buffstream launch, I was like,
[00:41:45.880 --> 00:41:48.520]   I need to know more, now I get it.
[00:41:48.520 --> 00:41:51.320]   Now I understand, I appreciate it enough.
[00:41:51.320 --> 00:41:53.480]   - It was wonderful to talk to both of you, I appreciate it.
[00:41:53.480 --> 00:41:56.060]   (upbeat music)
[00:41:56.060 --> 00:41:58.640]   (upbeat music)

